cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,psf_quality_flag,cell_role,exclusion_source
19,1,v3_systematics,central99 count-qualified expanded systematics cell,"[200,300)","[4.0,4.25)",13247,1,0,0.051801537583194515,1,probe,
20,1,v3_systematics,central99 count-qualified expanded systematics cell,"[200,300)","[4.25,4.5)",10121,1,0,0.039577516560693866,1,probe,
21,1,v3_systematics,central99 count-qualified expanded systematics cell,"[200,300)","[4.5,4.75)",7811,1,0,0.030544410814700107,1,probe,
22,1,v3_systematics,central99 count-qualified expanded systematics cell,"[200,300)","[4.75,5.0)",6480,1,0,0.025339621313437036,1,probe,
23,1,v3_systematics,central99 count-qualified expanded systematics cell,"[200,300)","[5,6)",24254,1,0,0.0948436998975466,1,probe,
24,0,v3_systematics,excluded from expanded systematics selector,"[200,300)",>=6,203,0,0,0.0007938183837388454,0,excluded,MC_prefit_selector
25,0,v3_systematics,excluded from expanded systematics selector,"[300,500)","[2,2.5)",227,0,0,0.0014982904967460035,0,excluded,MC_prefit_selector
26,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[2.5,3)",80182,1,1,0.5292331656832072,1,probe,
27,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[3,3.25)",151506,1,1,1.0,1,probe,
28,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[3.25,3.5)",112141,1,1,0.7401753065885179,1,probe,
29,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[3.5,3.75)",46983,1,1,0.31010653043443825,1,probe,
30,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[3.75,4.0)",20906,1,1,0.13798793447124205,1,probe,
31,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[4.0,4.25)",13417,1,0,0.0885575488759521,1,probe,
32,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[4.25,4.5)",11186,1,0,0.07383205945639117,1,probe,
33,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[4.5,4.75)",10057,1,0,0.06638020936464563,1,probe,
34,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[4.75,5.0)",8426,1,0,0.05561495914353227,1,probe,
35,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[5,6)",34776,1,0,0.2295354639420221,1,probe,
36,0,v3_systematics,excluded from expanded systematics selector,"[300,500)",>=6,433,0,0,0.0028579726215463416,0,excluded,MC_prefit_selector
37,0,v3_systematics,excluded from expanded systematics selector,"[500,800)","[2,2.5)",0,0,0,0.0,0,excluded,MC_prefit_selector
38,0,v3_systematics,excluded from expanded systematics selector,"[500,800)","[2.5,3)",913,0,0,0.010199635807089474,0,excluded,MC_prefit_selector
39,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[3,3.25)",27769,1,1,0.3102230960866019,0,probe,
40,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[3.25,3.5)",89513,1,1,1.0,1,probe,
41,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[3.5,3.75)",68604,1,1,0.7664138169874767,1,probe,
42,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[3.75,4.0)",26703,1,1,0.2983142113436037,1,probe,
43,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[4.0,4.25)",10601,1,1,0.11842972529129847,1,probe,
44,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[4.25,4.5)",5257,1,0,0.058728899712890865,1,probe,
45,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[4.5,4.75)",5154,1,0,0.057578228860612424,1,probe,
46,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[4.75,5.0)",5397,1,0,0.06029291834705573,1,probe,
47,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[5,6)",27712,1,0,0.3095863170712634,1,probe,
48,0,v3_systematics,excluded from expanded systematics selector,"[500,800)",>=6,426,0,0,0.004759085272530247,0,excluded,MC_prefit_selector
49,0,v3_systematics,excluded from expanded systematics selector,"[800,1100)","[2,2.5)",0,0,0,0.0,0,excluded,MC_prefit_selector
50,0,v3_systematics,excluded from expanded systematics selector,"[800,1100)","[2.5,3)",5,0,0,0.00015249946625186812,0,excluded,MC_prefit_selector
51,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[3,3.25)",1093,1,0,0.03333638332265837,0,probe,
52,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[3.25,3.5)",15783,1,1,0.48137981517064693,0,probe,
53,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[3.5,3.75)",32787,1,1,1.0,1,probe,
54,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[3.75,4.0)",22615,1,1,0.6897550858571995,1,probe,
55,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[4.0,4.25)",9020,1,1,0.2751090371183701,1,probe,
56,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[4.25,4.5)",2841,1,0,0.08665019672431147,1,probe,
57,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[4.5,4.75)",1287,1,0,0.039253362613230855,1,probe,
58,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[4.75,5.0)",1482,1,0,0.04520084179705371,1,probe,
59,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[5,6)",8235,1,0,0.2511666209168268,1,probe,
60,0,v3_systematics,excluded from expanded systematics selector,"[800,1100)",>=6,71,0,0,0.002165492420776527,0,excluded,MC_prefit_selector
61,0,v3_systematics,excluded from expanded systematics selector,"[1100,2000)","[2,2.5)",0,0,0,0.0,0,excluded,MC_prefit_selector
62,0,v3_systematics,excluded from expanded systematics selector,"[1100,2000)","[2.5,3)",0,0,0,0.0,0,excluded,MC_prefit_selector
63,0,v3_systematics,excluded from expanded systematics selector,"[1100,2000)","[3,3.25)",16,0,0,0.0006667222268522376,0,excluded,MC_prefit_selector
64,1,v3_systematics,central99 count-qualified expanded systematics cell,"[1100,2000)","[3.25,3.5)",1565,1,0,0.0652137678139845,0,probe,
65,1,v3_systematics,central99 count-qualified expanded systematics cell,"[1100,2000)","[3.5,3.75)",10960,1,1,0.4567047253937828,0,probe,
66,1,v3_systematics,central99 count-qualified expanded systematics cell,"[1100,2000)","[3.75,4.0)",23726,1,1,0.988665722143512,1,probe,
67,1,v3_systematics,central99 count-qualified expanded systematics cell,"[1100,2000)","[4.0,4.25)",23998,1,1,1.0,1,probe,
68,1,v3_systematics,central99 count-qualified expanded systematics cell,"[1100,2000)","[4.25,4.5)",13380,1,1,0.5575464622051838,1,probe,
69,1,v3_systematics,central99 count-qualified expanded systematics cell,"[1100,2000)","[4.5,4.75)",5650,1,1,0.23543628635719643,1,probe,
70,1,v3_systematics,central99 count-qualified expanded systematics cell,"[1100,2000)","[4.75,5.0)",1641,1,0,0.06838069839153263,0,probe,
71,0,v3_systematics,excluded from expanded systematics selector,"[1100,2000)","[5,6)",910,1,0,0.03791982665222102,0,excluded,MC_prefit_selector
72,0,v3_systematics,excluded from expanded systematics selector,"[1100,2000)",>=6,4,0,0,0.0001666805567130594,0,excluded,MC_prefit_selector
73,0,v3_systematics,excluded from expanded systematics selector,"[2000,3000)","[2,2.5)",0,0,0,0.0,0,excluded,MC_prefit_selector
74,0,v3_systematics,excluded from expanded systematics selector,"[2000,3000)","[2.5,3)",0,0,0,0.0,0,excluded,MC_prefit_selector
75,0,v3_systematics,excluded from expanded systematics selector,"[2000,3000)","[3,3.25)",0,0,0,0.0,0,excluded,MC_prefit_selector
76,0,v3_systematics,excluded from expanded systematics selector,"[2000,3000)","[3.25,3.5)",0,0,0,0.0,0,excluded,MC_prefit_selector
77,0,v3_systematics,excluded from expanded systematics selector,"[2000,3000)","[3.5,3.75)",4,0,0,0.0005530208765380893,0,excluded,MC_prefit_selector
78,0,v3_systematics,excluded from expanded systematics selector,"[2000,3000)","[3.75,4.0)",156,1,0,0.021567814184985483,0,excluded,MC_prefit_selector
79,1,v3_systematics,central99 count-qualified expanded systematics cell,"[2000,3000)","[4.0,4.25)",1175,1,1,0.16244988248306375,0,probe,
80,1,v3_systematics,central99 count-qualified expanded systematics cell,"[2000,3000)","[4.25,4.5)",3127,1,1,0.4323240702336513,0,probe,
81,1,v3_systematics,central99 count-qualified expanded systematics cell,"[2000,3000)","[4.5,4.75)",5515,1,1,0.7624775335268906,1,probe,
82,1,v3_systematics,central99 count-qualified expanded systematics cell,"[2000,3000)","[4.75,5.0)",5332,1,1,0.7371768284252731,1,probe,
83,1,v3_systematics,central99 count-qualified expanded systematics cell,"[2000,3000)","[5,6)",7233,1,1,1.0,1,probe,
84,0,v3_systematics,excluded from expanded systematics selector,"[2000,3000)",>=6,0,0,0,0.0,0,excluded,MC_prefit_selector
